Document Number	DocID Intern	Class	Project/H-Type	Sheet	Ver.	Issue	Lang.	Product version	Name	Source Allocation	Author	OEM / Private Label	PI	State	Lifecycle	Valid From	Valid Until	Current	Project Name	Cre.-Department	Date	Creator	Approved	Appr. Date	Released by	Rel. date	MTO	Note	DocKey II	ECO-ID	External Key	Doc type	Structure	Where used	Direct link	Direct Version link	Configuration Item	Icon Name	EDB_ID	EDB_ITM_REF	PLM Phase	CAX-Type	Variant name	Frame id.	Cre.sys.	File name	Structure ok?	File from local disc?	URL/Alternative ID	DocKeyII	DATEs	Service
T_DOC_DAT.SHS_DOC_ID2	T_DOC_DAT.DOCUMENT_ID	T_DOC_DAT.SHS_DOC_TYPE	T_DOC_DAT.SHS_PROJ_TYPE	T_DOC_DAT.SHEET_NO	T_DOC_DAT.DOC_VERSION	T_DOC_DAT.DOC_REVISION	T_DOC_DAT.SHS_DOC_LANG	T_DOC_DAT.SHS_REV_TXT1	T_DOC_DAT.DOC_NAME_ENG	T_DOC_DAT.SHS_SOURCE_DESCR	T_DOC_DAT.CRE_USER	T_DOC_DAT.SHS_OEM	T_DOC_DAT.LEV_IND	V_CHK_STA.REL_STA_ENG	T_DOC_DAT.CHK_NAME	T_DOC_DAT.VAL_FROM	T_DOC_DAT.VAL_UNTIL	T_DOC_DAT.CUR_FLAG	T_DOC_DAT.SHS_PROJ_NAM	T_DOC_DAT.CRE_DEPART	T_DOC_DAT.CRE_DATE	T_DOC_DAT.CRE_C_USER	T_DOC_DAT.APR_USER	T_DOC_DAT.APR_DATE	T_DOC_DAT.REL_USER	T_DOC_DAT.REL_DATE	T_DOC_DAT.SHS_MTO	T_DOC_DAT.STEP_DESCR	T_DOC_DAT.SHS_DOC_TYPEII	T_DOC_DAT.SHS_EO_ID	T_DOC_DAT.SHS_EXT_KEY	T_DOC_DAT.DOC_TYPE	T_DOC_DAT.BOM_FLAG	T_DOC_DAT.AGG_FLAG	T_DOC_DAT.DDL_HYPERLINK	T_DOC_DAT.HYPERLINK_VER	T_DOC_DAT.CMG_CTRL	T_DOC_DAT.EDB_ICON	T_DOC_DAT.EDB_ID	T_DOC_DAT.EDB_ITM_REF	T_DOC_DAT.SHS_PLM_TYP	T_DOC_DAT.CAX_TYPE	T_DOC_DAT.CAX_VAR	T_DOC_DAT.CAX_FRAME_ID	T_DOC_DAT.CAX_CRE_SYSTEM	T_DOC_DAT.CAX_FIL_NAME	T_DOC_DAT.CAX_STROK	T_DOC_DAT.CAX_LOCAL	T_DOC_DAT.EDB_URL	T_DOC_DAT.SHS_DTYPE2_KEY	T_DOC_DAT.SHS_DATES	T_DOC_DAT.SHS_SERVICE
DoC_Connexx_Travel Charger RIC	D00231275	34	QMDOC	0	2	0	EN		DOC_CONNEXX_TRAVEL CHARGER RIC	WIDEX-DK-QM	Jakobsen		230	Released	SHS-QMDOC	03/03/2026 14.45.12	01/01/3000 00.00.00	y		GRP QLT RA	2026-03-03	AU000G4B	Jakobsen	2026-03-03	Andersen, KB	2026-03-03	n	Updated to new template to get conformity assessment annex corrected	#DoC			QM_DOCUMENTATION	0	1	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00231275&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1001119200&DOC_TYPE=QM_DOCUMENTATION			18423870		GEN									QCE		
DoC_Connexx_Minimal Charger	D00297914	34	QMDOC	0	2	0	EN		DOC_CONNEXX_MINIMAL CHARGER	WIDEX-DK-QM	Jakobsen		230	Released	SHS-QMDOC	03/03/2026 14.43.23	01/01/3000 00.00.00	y		GRP QLT RA	2026-03-03	AU000G4B	Jakobsen	2026-03-03	Andersen, KB	2026-03-03	n	Updated to new template to get conformity assessment annex corrected	#DoC			QM_DOCUMENTATION	0	1	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00297914&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1452714121&DOC_TYPE=QM_DOCUMENTATION			18423862											QCE		
DoC_Connexx_Charging Station B-M	D00285251	34	QMDOC	0	3	0	EN		DOC_CONNEXX_CHARGING STATION B-M	WIDEX-DK-QM	Jakobsen		230	Released	SHS-QMDOC	03/03/2026 14.39.52	01/01/3000 00.00.00	y		GRP QLT RA	2026-03-03	AU000G4B	Jakobsen	2026-03-03	Andersen, KB	2026-03-03	n	Updated to new template to get conformity assessment annex corrected	#DoC			QM_DOCUMENTATION	0	1	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00285251&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1137119193&DOC_TYPE=QM_DOCUMENTATION			18423853											QCE		
DoC_CXX_CHARGER_W	D00227024	34	QMDOC	0	4	0	EN		DOC_CXX_CHARGER_W	WIDEX-DK-QM	Jakobsen		230	Released	SHS-QMDOC	03/03/2026 14.36.55	01/01/3000 00.00.00	y		GRP QLT RA	2026-03-03	AU000G4B	Jakobsen	2026-03-03	Andersen, KB	2026-03-03	n	updated to new template to get the conformity assessment annex corrected	#DoC			QM_DOCUMENTATION	0	1	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00227024&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1177290509&DOC_TYPE=QM_DOCUMENTATION			18423845		GEN									QCE		
DoC_PL_ViO_E-59	D00367537	34	QMDOC	0	2	0	EN		DoC_PL_ViO_E-59	WSA-SG-QA/QMS	Khoo, C		230	Released	SHS-QMDOC	03/02/2026 08.44.49	01/01/3000 00.00.00	y		GRP QLT RA	2026-02-03	AU000N1Z	Khoo, C	2026-02-03	Ravn	2026-02-03	n	Amend the product identification.	#DoC			QM_DOCUMENTATION	0	1	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00367537&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1417938640&DOC_TYPE=QM_DOCUMENTATION			18350753											QCE		
DoC_PL_Audibel_AD7	D00277161	34	QMDOC	0	2	0	EN		DOC_PL_AUDIBEL_AD7	WSA-SG-QA/QMS	Khoo, C		230	Released	SHS-QMDOC	02/02/2026 09.28.05	01/01/3000 00.00.00	y		GRP QLT RA	2026-01-30	AU000N1Z	Khoo, C	2026-01-30	Jakobsen	2026-02-02	n	Added the following: 1) AD7 BTE P series 2) AD7 BTE SP series 3) AD7 RIC series	#DoC			QM_DOCUMENTATION	0	1	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00277161&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1106425860&DOC_TYPE=QM_DOCUMENTATION			18343634		GEN									QCE		
DoC_Stretta_Bea	D00366320	34	QMDOC	0	2	0	EN		DoC_Stretta_Bea	WSA-SG-QA/QMS	Khoo, C		230	Released	SHS-QMDOC	28/01/2026 15.51.22	01/01/3000 00.00.00	y		GRP QLT RA	2026-01-28	AU000N1Z	Khoo, C	2026-01-28	Jakobsen	2026-01-28	n	Added the following: Stretta Bea HP-R	#DoC			QM_DOCUMENTATION	0	1	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00366320&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1073035651&DOC_TYPE=QM_DOCUMENTATION			18334710											QCE		
DoC_PL_Audibel_AD8 LI BTEs	D00324784	34	QMDOC	0	4	0	EN		DoC_PL_Audibel_AD8 LI BTEs	WSA-SG-QA/QMS	Khoo, C		230	Released	SHS-QMDOC	28/01/2026 15.46.33	01/01/3000 00.00.00	y		GRP QLT RA	2026-01-28	AU000N1Z	Khoo, C	2026-01-28	Jakobsen	2026-01-28	n	1) Added the following: AD8 BTE Li P series	#DoC			QM_DOCUMENTATION	0	4	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00324784&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1172618700&DOC_TYPE=QM_DOCUMENTATION			18334679											QCE		
DoC_PL_Aural_B-8	D00367262	34	QMDOC	0	1	0	EN		DoC_PL_Aural_B-8	WSA-SG-QA/QMS	Khoo, C		230	Released	SHS-QMDOC	26/01/2026 06.40.36	01/01/3000 00.00.00	y		GRP QLT RA	2026-01-26	AU000N1Z	Khoo, C	2026-01-26	Leong, YX	2026-01-26	n		#DoC			QM_DOCUMENTATION	0	1	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00367262&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1513964241&DOC_TYPE=QM_DOCUMENTATION			18326361											QCE		
